代號	股票名稱	代號	股票名稱	代號	股票名稱	代號	股票名稱
1101	台泥	2381	華宇	3264	欣銓	5854	合庫
1102	亞泥	2382	廣達	3265	台曜電	5902	德記
1103	嘉泥	2383	台光電	3266	弘如洋	5903	全家
1104	環泥	2384	勝華	3268	海德威	5904	寶雅
1107	建台	2385	群光	3276	宇環	5905	南仁湖
1108	幸福	2387	精元	3284	太普高	6005	群益證
1109	信大	2388	威盛	3287	廣寰科	6008	中信證
1110	東泥	2390	云辰	3288	點晶	6012	金鼎證
1201	味全	2391	合勤	3289	宜特	6015	大信證
1203	味王	2392	正崴	3290	東浦	6016	康和證
1210	大成	2393	億光	3293	鈊象	6020	大展證
1213	大西洋	2395	研華	3294	英濟	6021	大慶證
1215	卜蜂	2397	友通	3296	勝德	6022	大眾證
1216	統一	2399	映泰	3297	杭特	6023	寶來期
1217	愛之味	2401	凌陽	3299	帛漢	6101	弘捷
1218	泰山	2402	毅嘉	3303	岱稜	6103	合邦
1219	福壽	2403	友尚	3305	昇貿	6104	創惟
1220	台榮	2404	漢唐	3306	鼎天	6105	瑞傳
1225	福懋油	2405	浩鑫	3308	聯德	6107	華美
1227	佳格	2406	國碩	3310	佳穎	6108	競國
1229	聯華	2408	南科	3311	閎暉	6109	亞元
1231	聯華食	2409	達碁	3312	弘憶股	6111	大宇資
1232	大統益	2410	普大	3313	斐成	6112	聚碩
1233	天仁	2412	中華電	3315	宣昶	6113	亞矽
1234	黑松	2413	環科	3317	尼克森	6114	翔昇
1235	興泰	2414	精技	3323	加百裕	6115	鎰勝
1236	宏亞	2415	錩新	3324	雙鴻	6116	彩晶
1301	台塑	2417	圓剛	3325	旭品	6117	迎廣
1303	南亞	2419	仲琦	3332	幸康	6118	建達
1304	台聚	2420	新巨	3339	泰谷	6119	大傳
1305	華夏	2421	建準	3354	律勝	6120	輔祥
1307	三芳	2423	固緯	3356	奇偶	6121	新普
1308	亞聚	2424	隴華	3360	尚立	6122	擎邦
1309	台達化	2426	鼎元	3362	先進光	6123	上奇
1310	台苯	2427	三商電	3367	英華達	6124	業強
1312	國喬	2428	興勤	3369	鐵研	6125	廣運
1313	聯成	2430	燦坤	3372	典範	6126	信音
1314	中石化	2431	聯昌	3373	熱映	6127	九豪精
1315	達新	2433	互盛電	3376	新日興	6128	上福
1316	上曜	2434	統懋	3380	明泰	6129	普誠
1319	東陽	2436	偉詮電	3383	新世紀	6131	悠克
1321	大洋	2437	旺詮	3388	崇越電	6133	金橋
1323	永裕	2438	英誌	3389	志遠	6134	萬旭
1324	地球	2439	美律	3390	旭軟	6135	佳營
1325	恒大	2440	太空梭	3402	漢科	6136	富爾特
1326	臺化	2441	超豐	3406	玉晶光	6138	茂達
1333	恩得利	2442	美齊	3416	融程電	6139	亞翔
1336	台翰	2443	利碟	3419	譁裕	6140	訊達
1402	遠紡	2444	友旺	3431	長天	6141	柏承
1409	新纖	2446	全懋	3434	哲固	6142	友勁
1410	南染	2448	晶元	3438	類比科	6143	振曜
1413	宏洲	2449	京元	3443	創意	6144	得利影
1414	東和	2450	神腦	3444	利機	6145	勁永
1416	廣豐	2451	創見	3450	聯鈞	6146	耕興
1417	嘉裕	2452	乾坤	3452	益通	6147	頎邦
1419	新紡	2453	凌群	3454	晶睿	6148	和平資
1423	利華	2454	聯發科	3455	由田	6150	撼訊
1434	福懋	2455	全新	3465	祥業	6151	晉倫
1435	中福	2456	奇力新	3466	致振	6152	百一
1436	福益	2457	飛宏	3474	華亞科	6153	嘉聯益
1437	勤益	2458	義隆電	3481	群創	6154	順發
1439	中和羊	2459	敦吉	3483	力致	6155	鈞寶
1440	南紡	2460	建通	3484	崧騰	6156	科橋
1441	大東紡	2461	光群	3489	荃寶	6158	禾昌
1442	達永興	2462	良得電	3490	單井	6159	詮鼎
